customer,recency,frequency,monetary,R,F,M,RFM Score
Roseann Kshlerin,74,1,49,1,1,2,112
Roseanna Gibson,6,3,189,5,5,5,555
Rosella Koelpin MD,25,1,62,4,1,3,413
Rosemarie Carroll,50,1,27,2,1,1,211
Rosemarie Klocko PhD,40,5,249,3,5,5,355
Rosemarie Weber,25,1,39,4,1,1,411
Rosemary Watsica,5,5,273,5,5,5,555
Rosena Considine,86,1,54,1,1,2,112
Rosena Kautzer MD,24,1,72,4,1,3,413
Rosendo Zemlak,4,6,349,5,5,5,555
Rosevelt Muller,5,5,247,5,5,5,555
Rosevelt Murazik DDS,3,7,400,5,5,5,555
Rosey Ankunding,81,1,46,1,1,2,112
Rosey Becker,35,1,73,3,1,3,313
Rosey McCullough,15,1,67,4,1,3,413
Rosia Harvey,51,1,69,2,1,3,213
Rosia Purdy,4,4,228,5,5,5,555
Rosie Batz,41,1,34,3,1,1,311
Rosina Abbott,70,1,28,1,1,1,111
Rosina Lemke MD,27,1,51,3,1,2,312
Roslyn Hand,5,1,35,5,1,1,511
Roslyn O'Conner,33,1,74,3,1,3,313
Ross Hansen,38,2,46,3,4,2,342
Ross Parker,47,1,74,2,1,3,213
Ross Quitzon,5,5,229,5,5,5,555
Ross Wilkinson,3,15,780,5,5,5,555
Rossie D'Amore,47,1,43,2,1,2,212
Rossie Doyle,63,1,69,2,1,3,213
Rowan Waelchi,11,3,128,4,5,5,455
Rowena Skiles,81,1,63,1,1,3,113
Rowland Emmerich,47,1,31,2,1,1,211
Rowland Wyman,3,1,38,5,1,1,511
Roxana Dickens DDS,39,1,59,3,1,3,313
Roxana O'Conner MD,47,2,83,2,4,4,244
Roxana Rutherford,41,1,74,3,1,3,313
Roxann Paucek,74,2,96,1,4,4,144
Roxanna Reichel DDS,14,2,78,4,4,4,444
Roxie Dooley,78,1,52,1,1,2,112
Roxie Kuphal,88,2,152,1,4,5,145
Roy Heathcote,87,1,34,1,1,1,111
Royal Lind,73,1,38,1,1,1,111
Royal Wintheiser,17,1,27,4,1,1,411
Rozanne Hagenes,3,3,121,5,5,4,554
Rozanne Pfeffer,4,1,59,5,1,3,513
Rozanne Prohaska,35,1,43,3,1,2,312
Rozanne Stoltenberg,81,1,20,1,1,1,111
Rozella West,33,1,22,3,1,1,311
Rube Kunde,47,1,40,2,1,2,212
Ruben Champlin,70,1,65,1,1,3,113
Ruben Grant DVM,61,1,80,2,1,4,214
Ruben Wilkinson,59,1,65,2,1,3,213
Rubi O'Reilly,3,10,498,5,5,5,555
Rubi Reilly,43,2,110,3,4,4,344
Rubin Kessler,19,2,104,4,4,4,444
Ruby Bauch,49,1,26,2,1,1,211
Ruby Murray,4,2,75,5,4,3,543
Ruby Roob,20,1,40,4,1,2,412
Rubye Hackett,31,1,40,3,1,2,312
Rubye Parker,41,2,106,3,4,4,344
Rudolf Christiansen,4,1,80,5,1,4,514
Rudolf Hauck,30,1,43,3,1,2,312
Rudolf Stanton,12,2,99,4,4,4,444
Rudolf Wilkinson,5,3,203,5,5,5,555
Rudolfo Pfeffer Jr.,84,5,305,1,5,5,155
Rudolph Emmerich,28,1,35,3,1,1,311
Rudolph VonRueden,48,1,27,2,1,1,211
Rudolph Wisozk,39,1,27,3,1,1,311
Rueben Grant,8,1,31,5,1,1,511
Rueben Marvin,82,1,53,1,1,2,112
Ruel Fritsch,2,2,96,5,4,4,544
Ruel Hansen DDS,71,1,38,1,1,1,111
Ruel Jacobson,78,1,27,1,1,1,111
Ruel Ruecker,74,1,66,1,1,3,113
Ruffus Balistreri,84,1,65,1,1,3,113
Rufus Auer,7,3,153,5,5,5,555
Rufus Hilll,6,1,25,5,1,1,511
Rufus Schowalter,53,1,66,2,1,3,213
Rufus Strosin,85,1,26,1,1,1,111
Ruie Herzog,47,1,43,2,1,2,212
Rupert Schowalter,57,1,51,2,1,2,212
Rupert Wolff I,68,2,95,1,4,4,144
Rush Ledner,4,11,626,5,5,5,555
Rush Stamm,14,1,29,4,1,1,411
Russel Corwin,59,1,23,2,1,1,211
Russel Rice,47,1,70,2,1,3,213
Russel Russel,46,3,160,2,5,5,255
Russell Boyle,80,1,43,1,1,2,112
Russell Murphy I,12,1,25,4,1,1,411
Rusty Bechtelar,40,3,113,3,5,4,354
Rusty Ryan,68,1,58,1,1,2,112
Ruth Sawayn,88,1,72,1,1,3,113
Ruth Senger DDS,35,2,127,3,4,5,345
Ruthe Macejkovic MD,88,1,29,1,1,1,111
Ruthe Reichel,13,1,58,4,1,2,412
Rutherford Collier,4,3,158,5,5,5,555
Ruthie Bogan,43,2,154,3,4,5,345
Ruthie Gutmann DVM,5,7,358,5,5,5,555
Ryan Kreiger,45,1,79,3,1,4,314
Ryan Rolfson,90,1,75,1,1,3,113
Ryder Weimann,39,2,110,3,4,4,344
Ryker Dooley,11,1,60,4,1,3,413
Ryker Jones DVM,12,2,60,4,4,3,443
Ryland Herman,47,1,29,2,1,1,211
Ryland Huel,87,1,75,1,1,3,113
Ryland Kuphal,3,3,132,5,5,5,555
Ryland Predovic,5,1,75,5,1,3,513
Rylee Douglas,26,1,50,4,1,2,412
Rylee Hermiston,38,1,27,3,1,1,311
Rylee Murazik,46,1,35,2,1,1,211
Rylee O'Hara V,5,4,215,5,5,5,555
Rylee Trantow,51,3,174,2,5,5,255
Ryleigh Okuneva,30,1,46,3,1,2,312
Ryley Auer,44,1,75,3,1,3,313
Ryley Walter,6,9,455,5,5,5,555
Rylie Grimes,25,1,52,4,1,2,412
Ryne White,87,1,78,1,1,4,114
Sabastian Hodkiewicz,42,2,133,3,4,5,345
Sabastian Runte,40,1,51,3,1,2,312
Sabina Anderson,72,1,28,1,1,1,111
Sable Toy,47,1,57,2,1,2,212
Sabra Casper,46,2,87,2,4,4,244
Sabra Cruickshank,30,3,163,3,5,5,355
Sada Krajcik MD,9,4,137,5,5,5,555
Sade Swift,1,1,21,5,1,1,511
Sadie Gaylord,12,6,353,4,5,5,455
Sadie Hodkiewicz,80,1,45,1,1,2,112
Sadie Upton,12,1,61,4,1,3,413
Sage Brekke,64,3,148,2,5,5,255
Sage Paucek,23,2,108,4,4,4,444
Sage Waters,59,1,28,2,1,1,211
Sage Ziemann,1,3,215,5,5,5,555
Saige Daugherty,4,1,59,5,1,3,513
Saint Bayer DVM,5,1,63,5,1,3,513
Saint Doyle,21,2,111,4,4,4,444
Sal Carter,60,1,43,2,1,2,212
Sal Mosciski V,69,1,33,1,1,1,111
Salena Gutmann PhD,37,1,22,3,1,1,311
Salena Marvin,67,1,54,2,1,2,212
Salena Moore,14,1,77,4,1,4,414
Salina Miller,31,2,104,3,4,4,344
Salina Schinner,68,1,30,1,1,1,111
Salma Kling DVM,4,10,460,5,5,5,555
Salomon Armstrong I,15,1,28,4,1,1,411
Salomon Ledner,46,2,79,2,4,4,244
Salomon Shanahan,12,2,109,4,4,4,444
Salomon Yundt,1,1,79,5,1,4,514
Salvador Mayer,50,3,189,2,5,5,255
Salvador Stark Sr.,12,3,156,4,5,5,455
Salvador Tillman,31,2,72,3,4,3,343
Salvatore Greenholt,11,1,35,4,1,1,411
Salvatore Schamberger DVM,20,1,65,4,1,3,413
Sam Bednar Sr.,16,1,36,4,1,1,411
Samantha Blick PhD,23,1,70,4,1,3,413
Samara Kshlerin,61,1,71,2,1,3,213
Samira Medhurst,42,1,51,3,1,2,312
Samira Stoltenberg,31,1,26,3,1,1,311
Samira Treutel,2,1,39,5,1,1,511
Samiyah Bradtke,35,1,53,3,1,2,312
Sammie Walter,42,1,49,3,1,2,312
Sampson Cartwright,39,1,80,3,1,4,314
Sampson Cummings,82,1,43,1,1,2,112
Sampson Johnston,45,1,68,3,1,3,313
Sampson Walter,24,1,50,4,1,2,412
Samson Altenwerth,39,5,259,3,5,5,355
Samson Carter Sr.,35,5,299,3,5,5,355
Samson Lebsack,6,1,47,5,1,2,512
Samuel Kozey,19,3,167,4,5,5,455
Sanaa Dach,30,2,124,3,4,5,345
Sanai Strosin,11,1,24,4,1,1,411
Sanders Buckridge,39,1,67,3,1,3,313
Sandi Batz,9,5,227,5,5,5,555
Sandi Kerluke,64,1,80,2,1,4,214
Sandie Bruen DDS,62,1,23,2,1,1,211
Sandie Feeney,3,1,72,5,1,3,513
Sandie Welch,45,1,34,3,1,1,311
Sandra Haag,2,1,48,5,1,2,512
Sandra Schmeler DVM,63,1,62,2,1,3,213
Sandy Durgan PhD,84,1,25,1,1,1,111
Sandy Hessel,78,1,40,1,1,2,112
Sandy Kovacek,5,1,78,5,1,4,514
Sandy Kuhlman,53,1,39,2,1,1,211
Sanford Rosenbaum,11,1,32,4,1,1,411
Saniya Collier,27,1,45,3,1,2,312
Saniyah Hoppe,40,1,79,3,1,4,314
Saniyah Littel,12,4,213,4,5,5,455
Sanjuanita Brown,7,1,22,5,1,1,511
Sanjuanita Harber DDS,33,1,22,3,1,1,311
Sannie Terry,55,1,33,2,1,1,211
Santana Bradtke,26,1,25,4,1,1,411
Santiago Moore,81,1,74,1,1,3,113
Santiago Rolfson III,5,8,427,5,5,5,555
Santo Boyer,33,3,110,3,5,4,354
Santo Gerhold,17,1,40,4,1,2,412
Santo Reinger,10,4,202,5,5,5,555
Sarah Emmerich,5,8,469,5,5,5,555
Sarah Herzog,5,3,145,5,5,5,555
Sarah Schimmel,8,3,175,5,5,5,555
Sarahi Zemlak,30,2,79,3,4,4,344
Sarai Bartell DVM,68,2,97,1,4,4,144
Sarai Hahn DVM,79,1,29,1,1,1,111
Sarai Pfeffer,3,2,103,5,4,4,544
Sarai Rosenbaum DVM,31,1,78,3,1,4,314
Sarai Runolfsdottir DVM,32,1,73,3,1,3,313
Sariah Davis,7,1,77,5,1,4,514
Sarina Bartoletti,38,2,92,3,4,4,344
Sarina Vandervort,18,2,136,4,4,5,445
Sarita Conn,81,1,55,1,1,2,112
Sarrah Hansen,45,2,90,3,4,4,344
Sarrah Mayert,47,1,39,2,1,1,211
Sasha Durgan,47,1,27,2,1,1,211
Saul Abbott,70,1,60,1,1,3,113
Saundra Armstrong,81,1,25,1,1,1,111
Savana Dickens DVM,30,1,26,3,1,1,311
Savana Schinner,48,1,76,2,1,4,214
Savanah Mills,19,2,80,4,4,4,444
Savanah Ratke,47,2,86,2,4,4,244
Savanah Schimmel PhD,12,1,50,4,1,2,412
Savannah Volkman DVM,83,1,37,1,1,1,111
Saverio Stoltenberg,45,1,41,3,1,2,312
Savilla Ankunding,11,2,117,4,4,4,444
Savion Heathcote,31,1,57,3,1,2,312
Savion Lockman PhD,63,2,100,2,4,4,244
Savion Rohan,68,1,40,1,1,2,112
Savon Reinger,21,4,116,4,5,4,454
Sawyer Pfeffer,11,2,92,4,4,4,444
Schley Dach,33,1,42,3,1,2,312
Schley Gerhold,70,1,63,1,1,3,113
Schuyler Tillman,46,1,27,2,1,1,211
Schuyler Volkman,88,1,74,1,1,3,113
Scot Kerluke,10,3,170,5,5,5,555
Scott Jast,73,2,101,1,4,4,144
Scott O'Connell V,21,3,141,4,5,5,455
Scottie Beahan PhD,29,1,31,3,1,1,311
Scottie Kuhn,69,1,74,1,1,3,113
Scotty Sipes,50,2,89,2,4,4,244
Seaborn Bogisich III,14,1,56,4,1,2,412
Seaborn Wilkinson,20,2,61,4,4,3,443
Seamus Hessel,27,2,114,3,4,4,344
Seamus Kemmer,88,1,58,1,1,2,112
Sebastian Von,5,5,232,5,5,5,555
Sebrina Emmerich,47,1,42,2,1,2,212
Sebrina Stroman,81,1,79,1,1,4,114
Sedrick Ernser,51,1,22,2,1,1,211
Selah Gutmann,62,1,29,2,1,1,211
Selah Hodkiewicz,12,2,69,4,4,3,443
Seldon Bins,20,1,68,4,1,3,413
Seldon Ferry,12,2,81,4,4,4,444
Seldon Lemke,2,1,51,5,1,2,512
Selene Skiles,73,1,41,1,1,2,112
Selina Hammes,42,1,40,3,1,2,312
Semaj Effertz V,43,2,66,3,4,3,343
Semaj O'Reilly,74,1,64,1,1,3,113
Semaj Ryan DVM,6,4,224,5,5,5,555
Sena Nader,30,1,69,3,1,3,313
Seneca Fadel,53,2,103,2,4,4,244
Seneca Gibson,13,2,117,4,4,4,444
Seneca Gorczany,13,1,61,4,1,3,413
Seneca Heller,16,1,48,4,1,2,412
Seneca Hickle III,82,1,78,1,1,4,114
Serenity Volkman,26,1,25,4,1,1,411
Serina Bosco DVM,2,5,276,5,5,5,555
Serina Jewess,47,1,65,2,1,3,213
Seth Cole,32,1,29,3,1,1,311
Severt Kshlerin V,46,1,77,2,1,4,214
Severt Lowe,12,2,91,4,4,4,444
Seward Jenkins,19,1,21,4,1,1,411
Seward Stanton,17,1,55,4,1,2,412
Seymour Morissette,33,1,78,3,1,4,314
Shad Treutel,5,2,119,5,4,4,544
Shad Yundt,75,1,78,1,1,4,114
Shade Howe,45,2,135,3,4,5,345
Shade Russel,18,1,58,4,1,2,412
Shae Huel,14,4,230,4,5,5,455
Shafter Dooley,35,1,59,3,1,3,313
Shafter Goodwin,3,1,76,5,1,4,514
Shafter Rowe,25,2,104,4,4,4,444
Shakira Stokes,0,3,208,5,5,5,555
Shalon Ankunding,3,1,61,5,1,3,513
Shalonda Gislason,85,1,40,1,1,2,112
Shameka Frami,12,4,217,4,5,5,455
Shameka Mraz PhD,19,3,159,4,5,5,455
Shamika Wehner,4,8,437,5,5,5,555
Shan Reichel,11,2,91,4,4,4,444
Shan Torphy,39,1,79,3,1,4,314
Shana Windler,19,2,86,4,4,4,444
Shanda Gutmann MD,47,1,75,2,1,3,213
Shane Fahey,68,1,31,1,1,1,111
Shane Haley,53,2,112,2,4,4,244
Shane Hayes,36,2,55,3,4,2,342
Shaneka Jacobi DDS,60,1,41,2,1,2,212
Shaneka Jerde,18,2,106,4,4,4,444
Shaneka McGlynn,61,1,26,2,1,1,211
Shaneka Schinner,2,1,34,5,1,1,511
Shanelle Torphy,67,1,23,2,1,1,211
Shanequa Boyer DVM,42,2,145,3,4,5,345
Shanequa Hansen,89,1,72,1,1,3,113
Shani McClure,3,1,70,5,1,3,513
Shani Rosenbaum,72,1,74,1,1,3,113
Shania Stamm DDS,10,1,79,5,1,4,514
Shanice Johns,72,1,24,1,1,1,111
Shanice Thompson DVM,42,3,181,3,5,5,355
Shaniece Waelchi,43,2,100,3,4,4,344
Shanita Emmerich,33,1,22,3,1,1,311
Shaniya Krajcik DVM,33,1,28,3,1,1,311
Shaniya Pagac,5,2,131,5,4,5,545
Shanna Considine,79,2,108,1,4,4,144
Shanon Ankunding,4,1,44,5,1,2,512
Shanon Grady,77,1,78,1,1,4,114
Shanon Haley,8,1,76,5,1,4,514
Shanta Lockman,4,1,32,5,1,1,511
Shante Abbott,3,1,67,5,1,3,513
Shante Rippin,31,1,76,3,1,4,314
Shante Ryan,68,1,64,1,1,3,113
Shantel Jenkins,88,1,56,1,1,2,112
Shantell Ryan,81,1,42,1,1,2,112
Shaquan Conn,40,6,342,3,5,5,355
Shaquan McLaughlin,30,1,53,3,1,2,312
Shaquana Ebert,86,1,56,1,1,2,112
Shaquana Osinski,25,1,48,4,1,2,412
Shaquille Considine,45,1,49,3,1,2,312
Shaquille Wilderman,70,1,37,1,1,1,111
Shaquita Waters MD,46,1,44,2,1,2,212
Shara Torphy,47,1,77,2,1,4,214
Sharday Balistreri PhD,12,2,118,4,4,4,444
Sharday Wiegand,12,2,92,4,4,4,444
Sharde Daniel,12,1,56,4,1,2,412
Sharde Kautzer,3,1,68,5,1,3,513
Sharde Toy,45,5,211,3,5,5,355
Sharee Crist,55,2,105,2,4,4,244
Sharee Schaefer,48,1,76,2,1,4,214
Sharen Bailey,4,2,111,5,4,4,544
Sharen Bechtelar,26,1,71,4,1,3,413
Sharen Lindgren DVM,47,1,35,2,1,1,211
Shari Rowe PhD,72,1,20,1,1,1,111
Sharif Reinger DDS,28,1,57,3,1,2,312
Sharif Runolfsdottir,85,1,64,1,1,3,113
Sharif Schinner MD,47,2,102,2,4,4,244
Sharif Trantow,19,6,288,4,5,5,455
Sharleen Gorczany,86,1,25,1,1,1,111
Sharleen Prohaska,63,2,88,2,4,4,244
Sharleen Willms,52,1,20,2,1,1,211
Sharlene Anderson,73,1,28,1,1,1,111
Sharman Beier,43,1,44,3,1,2,312
Sharman Ebert,80,1,64,1,1,3,113
Sharman Murray,13,3,142,4,5,5,455
Sharon Cormier,5,3,177,5,5,5,555
Sharon Huel MD,6,3,193,5,5,5,555
Sharon Kris Sr.,82,1,61,1,1,3,113
Sharon McDermott,71,2,103,1,4,4,144
Sharon Padberg,21,1,79,4,1,4,414
Sharonda Hammes DVM,53,1,74,2,1,3,213
Sharonda Kovacek,68,1,63,1,1,3,113
Sharonda Lueilwitz,17,3,189,4,5,5,455
Sharron Mraz,49,2,116,2,4,4,244
Sharyl Stracke,3,1,74,5,1,3,513
Sharyn Barrows,47,1,51,2,1,2,212
Shasta McCullough,15,1,28,4,1,1,411
Shaun Rempel,40,3,94,3,5,4,354
Shaun Schoen,79,1,42,1,1,2,112
Shauna Cronin,46,1,66,2,1,3,213
Shaunna Schoen,85,1,40,1,1,2,112
Shavonne Larkin,46,5,266,2,5,5,255
Shavonne Lynch,46,1,39,2,1,1,211
Shawn Jenkins,47,1,31,2,1,1,211
Shawn Schroeder,40,3,115,3,5,4,354
Shawna Glover,69,1,48,1,1,2,112
Shawnte Stark DDS,6,2,77,5,4,4,544
Shawnte Wisoky,11,3,148,4,5,5,455
Shay Greenfelder,2,1,64,5,1,3,513
Shay Kunze,63,1,75,2,1,3,213
Shay Rempel,74,1,80,1,1,4,114
Shay VonRueden,57,1,73,2,1,3,213
Shay Wilderman,4,8,426,5,5,5,555
Shay Wintheiser,0,1,36,5,1,1,511
Shayla Parker,17,12,728,4,5,5,455
Shayla Walker,89,1,56,1,1,2,112
Shayna Satterfield,5,1,33,5,1,1,511
Shea Feil,30,3,177,3,5,5,355
Shea Gerlach,90,1,46,1,1,2,112
Shea Hettinger,2,9,489,5,5,5,555
Sheila Cole DVM,46,1,46,2,1,2,212
Sheila Hirthe,46,1,53,2,1,2,212
Sheila Kerluke,14,1,69,4,1,3,413
Shelba Barrows,5,1,41,5,1,2,512
Shelba Beer,46,1,72,2,1,3,213
Shelba Herzog,89,1,54,1,1,2,112
Shelbie Armstrong,39,5,286,3,5,5,355
Shelbie Rowe,52,1,74,2,1,3,213
Shelby Kihn,8,4,210,5,5,5,555
Shelby Monahan,24,6,331,4,5,5,455
Shelby Stroman,12,6,276,4,5,5,455
Sheldon Larson,23,1,49,4,1,2,412
Shelia Williamson,14,2,102,4,4,4,444
Shelia Yundt,60,1,32,2,1,1,211
Shelley Auer,5,1,70,5,1,3,513
Shelley Bernier,47,1,67,2,1,3,213
Shelley Rolfson,46,1,80,2,1,4,214
Shelli Gerlach,87,1,61,1,1,3,113
Shelli Jones,73,1,35,1,1,1,111
Shelli Ratke,8,6,349,5,5,5,555
Shellie Becker,31,2,115,3,4,4,344
Shellie Bosco,82,1,33,1,1,1,111
Shellie Brekke III,80,1,56,1,1,2,112
Shellie Romaguera,64,1,75,2,1,3,213
Shelly Roob,47,1,26,2,1,1,211
Shelly Schinner,42,1,66,3,1,3,313
Shelton Hudson,20,1,37,4,1,1,411
Shelva Crist,89,1,43,1,1,2,112
Shelvia Schoen PhD,12,1,44,4,1,2,412
Shelvia Schultz,73,1,22,1,1,1,111
Shelvie Pfeffer,47,1,28,2,1,1,211
Shemar Daniel,73,1,63,1,1,3,113
Shemar Keeling,79,1,56,1,1,2,112
Shemar Kemmer,76,1,62,1,1,3,113
Shemar Medhurst,43,2,88,3,4,4,344
Shena McGlynn,75,1,33,1,1,1,111
Shep Bradtke,16,1,36,4,1,1,411
Sheree Strosin,4,2,58,5,4,2,542
Sheri Moen,11,2,127,4,4,5,445
Sheridan Brekke,5,1,41,5,1,2,512
Sheridan Cremin,4,10,409,5,5,5,555
Sherilyn Beer,71,1,26,1,1,1,111
Sherita Fay,52,2,93,2,4,4,244
Sherlyn Gutmann,6,1,48,5,1,2,512
Sherman Franecki,85,1,80,1,1,4,114
Sherman Schoen,36,1,80,3,1,4,314
Sheron Stark MD,35,1,56,3,1,2,312
Sherree Lockman,7,1,70,5,1,3,513
Sherree Turcotte,32,1,45,3,1,2,312
Sherri Graham,89,1,27,1,1,1,111
Sherri Price,12,2,58,4,4,2,442
Sherrie Kuhic PhD,31,4,154,3,5,5,355
Sherrie Toy PhD,1,5,234,5,5,5,555
Sherron Dare,67,1,26,2,1,1,211
Sherry Franecki,6,1,67,5,1,3,513
Sherry Kuhic DVM,35,3,133,3,5,5,355
Sherry Parker,0,3,88,5,5,4,554
Sherryl Bogan,6,1,46,5,1,2,512
Sherryl Howe,46,1,75,2,1,3,213
Sherryl Stamm,33,2,50,3,4,2,342
Sherryl Tremblay,5,1,63,5,1,3,513
Sherwin O'Kon,6,2,66,5,4,3,543
Sherwin Reynolds III,82,1,36,1,1,1,111
Sherwood Bergstrom,3,3,199,5,5,5,555
Sherwood Mitchell,32,1,37,3,1,1,311
Sherwood Williamson,5,1,29,5,1,1,511
Sheyla Blick,45,1,22,3,1,1,311
Sheyla Towne,4,4,198,5,5,5,555
Sheyla Wisozk,47,1,22,2,1,1,211
Shianne Christiansen,39,1,63,3,1,3,313
Shiela Fisher,42,1,21,3,1,1,311
Shiela Kuphal,32,1,66,3,1,3,313
Shiela Lubowitz,80,1,66,1,1,3,113
Shiloh Prosacco,6,1,47,5,1,2,512
Shiloh Weissnat,47,2,64,2,4,3,243
Shirl Keebler,47,1,50,2,1,2,212
Shirl Kuvalis,71,1,65,1,1,3,113
Shirl Muller DDS,80,1,62,1,1,3,113
Shirl Wisozk,5,1,43,5,1,2,512
Shirlee Hoppe DDS,1,4,208,5,5,5,555
Shirleen Moore,52,2,86,2,4,4,244
Shirlene Weber,47,1,25,2,1,1,211
Shirley Brekke,46,1,72,2,1,3,213
Shirley Conn,33,1,22,3,1,1,311
Shirley Durgan,47,1,54,2,1,2,212
Shirley McCullough,81,2,77,1,4,4,144
Shirlie Nikolaus,43,1,30,3,1,1,311
Shoji Brekke,65,1,74,2,1,3,213
Shoji Dietrich,53,1,28,2,1,1,211
Shoji Kohler I,5,9,481,5,5,5,555
Shoji Thompson,88,1,25,1,1,1,111
Shoji Wintheiser III,21,2,79,4,4,4,444
Shon Bradtke,45,2,113,3,4,4,344
Shonda Langworth,4,4,207,5,5,5,555
Shonda Mayer,76,1,80,1,1,4,114
Shonna Huel,32,4,259,3,5,5,355
Shonna Walsh,31,3,104,3,5,4,354
Shreya Parker,47,1,36,2,1,1,211
Shyann Koelpin,8,3,124,5,5,5,555
Shyanne Hirthe PhD,5,5,239,5,5,5,555
Shyheim Mohr IV,30,2,98,3,4,4,344
Sibbie Kuphal,8,1,65,5,1,3,513
Sid Barton,21,1,42,4,1,2,412
Sid Fisher,52,1,34,2,1,1,211
Sid Goldner,45,1,25,3,1,1,311
Sid Goldner Sr.,12,1,79,4,1,4,414
Sid Swaniawski,11,1,67,4,1,3,413
Siddie Fritsch,88,1,32,1,1,1,111
Sidney Hauck,33,2,116,3,4,4,344
Sidney Hudson,40,2,147,3,4,5,345
Sidney Wilkinson,19,1,66,4,1,3,413
Sie Sauer IV,3,2,77,5,4,4,544
Siena Flatley PhD,34,1,33,3,1,1,311
Sienna Hegmann,59,1,74,2,1,3,213
Sierra Dietrich,85,2,118,1,4,4,144
Sigmund Bartell,4,3,100,5,5,4,554
Signe Toy,47,1,27,2,1,1,211
Sigurd Quigley,72,1,50,1,1,2,112
Sigurd Ward,47,2,109,2,4,4,244
Silas Connelly,11,2,83,4,4,4,444
Silas Nienow,68,1,56,1,1,2,112
Silvester Hilpert,74,1,27,1,1,1,111
Silvia Cummings,38,1,24,3,1,1,311
Silvia Dicki,53,1,74,2,1,3,213
Silvio Friesen,5,1,39,5,1,1,511
Silvio Gulgowski,46,1,66,2,1,3,213
Silvio Kovacek,21,2,98,4,4,4,444
Sim Crist,68,1,26,1,1,1,111
Sim Luettgen,30,1,76,3,1,4,314
Sim Mayert,45,3,152,3,5,5,355
Simeon Fisher PhD,69,1,37,1,1,1,111
Simmie Bahringer IV,3,6,313,5,5,5,555
Simmie Cummings,68,1,27,1,1,1,111
Simmie Terry,63,1,46,2,1,2,212
Simona Ward,5,5,236,5,5,5,555
Simona Willms,61,1,23,2,1,1,211
Sina Murazik,5,4,195,5,5,5,555
Sincere Christiansen,16,4,222,4,5,5,455
Sincere Kunze,4,4,213,5,5,5,555
Sing Hammes,20,1,54,4,1,2,412
Sing Jacobi,67,1,23,2,1,1,211
Siobhan McLaughlin,5,1,37,5,1,1,511
Sister Lemke,42,2,56,3,4,2,342
Sister Turner,44,3,212,3,5,5,355
Skip Flatley,47,2,131,2,4,5,245
Skip Macejkovic,25,1,57,4,1,2,412
Skip Williamson,87,1,57,1,1,2,112
Sky Jacobi,5,1,80,5,1,4,514
Sky Upton PhD,42,3,169,3,5,5,355
Skye Roob DVM,15,3,198,4,5,5,455
Skye Schaefer,10,1,23,5,1,1,511
Skyla Breitenberg PhD,6,1,77,5,1,4,514
Skyla Kovacek,4,1,56,5,1,2,512
Skylar Bins,59,1,79,2,1,4,214
Skylar Brakus,49,1,73,2,1,3,213
Skylar Hoeger,78,1,79,1,1,4,114
Skylar Langosh,3,1,26,5,1,1,511
Skylar Rath,18,2,56,4,4,2,442
Skyler Bogisich,18,3,121,4,5,4,454
Skyler Feil,15,2,95,4,4,4,444
Skyler Okuneva,87,1,64,1,1,3,113
Skyler Rowe,45,1,44,3,1,2,312
Slade Bauch,62,1,23,2,1,1,211
Slade Trantow,81,1,79,1,1,4,114
Sloane Hoeger,73,1,63,1,1,3,113
Sloane McKenzie,6,1,60,5,1,3,513
Smith Kuhlman,19,1,34,4,1,1,411
Smith Lindgren,22,1,50,4,1,2,412
Smith Schamberger,52,1,55,2,1,2,212
Socorro Barton MD,4,1,62,5,1,3,513
Socorro Macejkovic,61,1,70,2,1,3,213
Socorro Schinner,35,2,71,3,4,3,343
Sofia Ruecker,51,1,61,2,1,3,213
Sol Zboncak,32,1,37,3,1,1,311
Solomon Champlin,90,1,70,1,1,3,113
Solomon Larkin,43,1,61,3,1,3,313
Solomon Rosenbaum,81,2,131,1,4,5,145
Somer Crona,42,6,244,3,5,5,355
Somer Sawayn,64,1,24,2,1,1,211
Somer Schamberger,4,4,179,5,5,5,555
Somer Turcotte,31,1,59,3,1,3,313
Sondra Hermiston,20,1,75,4,1,3,413
Sondra Mertz DDS,6,1,58,5,1,2,512
Sondra Schuppe,46,5,266,2,5,5,255
Sonia Mitchell,5,3,156,5,5,5,555
Sonja Leffler,40,4,172,3,5,5,355
Sonja Stokes,82,1,48,1,1,2,112
Sonji Abshire,76,1,50,1,1,2,112
Sonji Osinski,39,1,34,3,1,1,311
Sonny Dickens,58,1,47,2,1,2,212
Sonya Hauck,19,1,47,4,1,2,412
Sophia Kuhic,17,1,59,4,1,3,413
Sophie Gleason,5,6,227,5,5,5,555
Sophie Hickle DDS,2,1,60,5,1,3,513
Sophie O'Hara,2,1,35,5,1,1,511
Sophronia Johnson,21,5,184,4,5,5,455
Soren Aufderhar,64,1,79,2,1,4,214
Soren Dickinson Jr.,37,1,54,3,1,2,312
Soren Gleason,11,2,108,4,4,4,444
Soren Roob,9,2,81,5,4,4,544
Spencer Kreiger,46,1,29,2,1,1,211
Spenser Kassulke,79,1,38,1,1,1,111
Spenser Tillman,85,1,34,1,1,1,111
Spring Cormier,55,1,67,2,1,3,213
Spring Wehner,12,3,121,4,5,4,454
Spurgeon Nader,34,1,24,3,1,1,311
Spurgeon Steuber,89,1,25,1,1,1,111
Spurgeon Stracke,12,2,97,4,4,4,444
Squire Emmerich,11,2,103,4,4,4,444
Squire Mayer,12,2,104,4,4,4,444
